priority,family,url,why_review,expected,actual,decision,notes
1,lugar_detail,https://visitpamplonairuna.com/lugar/archivo-real-y-general-de-navarra,Ficha de lugar; alto potencial de falso negativo,1 entity,0 entidades,Palace,"En la calle 2 de mayo, en un enclave privilegiado de la Navarrería, se alza el antiguo Palacio de los Reyes de Navarra, de San Pedro, del Virrey o de Capitanía, que se remonta al siglo XII. Fue hacia 1190 cuando el rey Sancho VI el Sabio ordenó construir este palacio. El edificio arrastró siempre una disputa permanente sobre su uso entre el obispado y la corona"
2,lugar_detail,https://visitpamplonairuna.com/lugar/catedral-de-santa-maria-la-real,Ficha de lugar; alto potencial de falso negativo,1entity,0 entidades,Cathedral,"Construida entre los siglos XIV y XV sobre una antigua catedral románica, la Catedral de Santa María la Real es un destacado ejemplo de la arquitectura gótica francesa en Navarra, considerado uno de los tres mejores conjuntos catedralicios góticos."
3,lugar_detail,https://visitpamplonairuna.com/lugar/catedral-santa-maria-la-real,Ficha de lugar; alto potencial de falso negativo,1 entity,0 entidades,Cathedral,Duplicada con la anterior
4,lugar_detail,https://visitpamplonairuna.com/lugar/capilla-de-san-fermin,Ficha de lugar; alto potencial de falso negativo,2 entities,0 entidades,Church/ Chapel,"La Iglesia de San Lorenzo, situada en pleno casco antiguo de Pamplona, es un lugar emblemático para la devoción y la tradición de la ciudad. Construida en el siglo XVIII, aunque lo que vemos hoy en día es del siglo XX, combina elementos barrocos y neoclásicos en su diseño. Su fachada, de estilo neoclásico, destaca por su sobriedad, mientras que el interior alberga uno de los lugares más queridos por la gente pamplonica: la Capilla de San Fermín"
5,lugar_detail,https://visitpamplonairuna.com/lugar/espacio-sanfermin-espazioa,Ficha de lugar; alto potencial de falso negativo,1 entity,0 entidades,InterpretationCenter,"El espacio está diseñado para sumergir a los y las visitantes en el ambiente festivo de Pamplona, a través de una exposición interactiva y audiovisual que permite conocer tanto los elementos más populares como los menos conocidos de las fiestas. Las y los visitantes pueden conocer la indumentaria mas típica así como las tradiciones religiosas y eventos culturales que suceden a lo largo de los nueve días festivos."
6,lugar_detail,https://visitpamplonairuna.com/lugar/ciudadela-y-vuelta-del-castillo,Ficha de lugar; alto potencial de falso negativo,1 entity,0 entidades,HistoricalOrCulturalResource,"Considerada Monumento Nacional, la Ciudadela de Pamplona es uno de los mejores ejemplos de arquitectura militar renacentista en España y un destacado conjunto defensivo de Europa"
7,lugar_detail,https://visitpamplonairuna.com/lugar/cicloturismo-eurovelo-1,Ficha de lugar; alto potencial de falso negativo,1 entity,0 entidades,Route,"Eurovelo 1, la ruta de cicloturismo de la costa Atlántica"
8,lugar_detail,https://visitpamplonairuna.com/lugar/a-bardenas-reales-ribera,Ficha de lugar; alto potencial de falso negativo,1entity,0 entidades,NaturalPark,"Las Bardenas Reales son uno de los paisajes más fascinantes de Navarra, caracterizadas por su terreno semidesértico y una belleza salvaje que combina formaciones únicas, como barrancos, mesetas y cabezos. Este Parque Natural y Reserva de la Biosfera"
9,other,https://visitpamplonairuna.com/en/lugares,Caso frontera; revisar si parece detalle o listado util,0 entities,0 entidades,Es un listado de Hoteles y espacios,Si va a acceder as links de las webs se clasifica alli y aquí no
10,tipo_lugar,https://visitpamplonairuna.com/tipo-lugar/lugares-de-interes,Listado tematico; puede requerir rescate controlado,0 entities,0 entidades,Es un listado de lugares de interes turistico,Si va a acceder as links de las webs se clasifica alli y aquí no
11,other,https://visitpamplonairuna.com/planifica-tu-viaje,Caso frontera; revisar si parece detalle o listado util,0 entities,0 entidades,Pagina generica que enlaza con servicios publicos,
12,institutional,https://visitpamplonairuna.com/area-profesional/estrategias-y-planes-municipales,Pagina institucional o programatica potencialmente rescatable,10 entities,0 entidades,Todas ellas son TouristResources,Toda la información de las estrategias y planes municipales turísticos y de otras áreas que inciden directamente en el desarrollo de las políticas turísticas de la ciudad
